                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.72114,                 3.9515,                 2.9999,                 1.4268,                 0.6845,                0.05882,                0.07004,                0.04514,                0.00176,                0.52941,                0.00165,                0.00068,                0.87675,                 6.6852,                 3.8034,                 1.7999,                0.00016,                0.00016,                0.00016
                      2,                0.63994,                 3.4674,                  2.774,                 1.2981,                0.21461,                0.05882,                0.03496,                0.01934,                0.00176,                0.52941,                0.00393,                0.00171,                0.86974,                 6.3388,                 3.5906,                 1.8096,             0.00032878,             0.00032878,             0.00032878
                      3,                0.90545,                 4.8488,                 2.9958,                 1.4637,                0.09337,                0.05882,                0.04052,                0.02137,                0.09337,                0.05882,                0.01749,                0.00475,                0.87343,                 5.5927,                 3.6307,                 1.8728,             0.00048568,             0.00048568,             0.00048568
                      4,                0.70942,                 3.8641,                 2.7806,                 1.3047,                0.09337,                0.05882,                0.04052,                0.02137,                0.09337,                0.05882,                0.01749,                0.00475,                0.87343,                 5.5927,                 3.6307,                 1.8728,              0.0006307,              0.0006307,              0.0006307
                      5,                 1.3656,                  4.421,                 8.2208,                  1.847,                0.18605,                0.94118,                0.26369,                0.13852,                0.01163,                0.05882,                0.00271,                0.00027,                 1.5166,                 25.016,                 502.07,                 2.4224,             0.00076384,             0.00076384,             0.00076384
                      6,                 1.8144,                 4.4585,                 12.481,                 2.3194,                0.00121,                0.29412,                0.00109,                0.00019,                      0,                      0,                      0,                      0,                 4.1737,                 44.779,                    inf,                 12.829,              0.0008851,              0.0008851,              0.0008851
                      7,                 2.8623,                 4.4432,                 104.26,                 3.0667,                0.00121,                0.29412,                0.00109,                0.00019,                      0,                      0,                      0,                      0,                 4.1737,                 44.779,                    inf,                 12.829,             0.00099448,             0.00099448,             0.00099448
                      8,                 2.7865,                 4.0419,                 55.087,                 2.8835,                0.00121,                0.29412,                0.00109,                0.00019,                      0,                      0,                      0,                      0,                 4.1737,                 44.779,                    inf,                 12.829,               0.001092,               0.001092,               0.001092
                      9,                 2.9177,                 4.2295,                 67.972,                 2.9597,                0.00028,                0.05882,                0.00012,                  1e-05,                      0,                      0,                      0,                      0,                 4.7688,                 8.3404,                 1145.4,                 4.7525,              0.0011776,              0.0011776,              0.0011776
                     10,                 2.7893,                 3.9958,                 54.321,                 2.9425,                0.00028,                0.05882,                0.00012,                  1e-05,                      0,                      0,                      0,                      0,                 4.7688,                 8.3404,                 1145.4,                 4.7525,              0.0012513,              0.0012513,              0.0012513
                     11,                 3.0471,                 4.2175,                 65.862,                 3.0265,                0.00028,                0.05882,                0.00012,                  1e-05,                      0,                      0,                      0,                      0,                 4.7688,                 8.3404,                 1145.4,                 4.7525,              0.0013132,              0.0013132,              0.0013132
                     12,                 2.9928,                 4.1473,                 80.314,                 2.9265,                0.00028,                0.05882,                0.00012,                  1e-05,                      0,                      0,                      0,                      0,                 4.7688,                 8.3404,                 1145.4,                 4.7525,               0.001274,               0.001274,               0.001274
                     13,                 3.0201,                 4.1908,                 64.443,                 3.0855,                0.00028,                0.05882,                0.00012,                  1e-05,                      0,                      0,                      0,                      0,                 3.9663,                    4.9,                 585.37,                 4.3624,               0.001274,               0.001274,               0.001274
                     14,                 2.9493,                  4.025,                  56.52,                 3.0061,                0.00028,                0.05882,                0.00012,                  1e-05,                      0,                      0,                      0,                      0,                 3.9663,                    4.9,                 585.37,                 4.3624,               0.001208,               0.001208,               0.001208
